germplasmName,studyName,value
KS15RLGDPOP23-3,22HUTKS_TCAP_C,2676.0931170342374
KS16GD2POP19-3,22HUTKS_TCAP_C,2417.661364613184
LOCKETT,22HUTKS_TCAP_C,2614.097306367057
TAM304,22HUTKS_TCAP_C,3497.695388400338
ALLIANCE,22HUTKS_TCAP_C,3131.066659712802
ARAPAHOE,22HUTKS_TCAP_C,3262.2759306996727
TX06V7266,22HUTKS_TCAP_C,3079.56007010153
KS16COGDPOP72-1,22HUTKS_TCAP_C,2754.3835418953286
KS15RLGDPOP29-2,22HUTKS_TCAP_C,2851.1949613500265
U9001-E-D12-D,22HUTKS_TCAP_C,2405.704917320389
X111482-1.8.2.2,22HUTKS_TCAP_C,3059.2505614315005
CENTURA,22HUTKS_TCAP_C,2634.934512969329
KS16RLGDPOP45-1,22HUTKS_TCAP_C,2570.605806876342
U8551_A2,22HUTKS_TCAP_C,2562.5341693574264
Joe,22HUTKS_TCAP_C,3232.316568591669
KS15RLGDPOP30-4,22HUTKS_TCAP_C,2815.8830857710786
JAGALENE,22HUTKS_TCAP_C,3507.642684617566
KS16COGDPOP42-6,22HUTKS_TCAP_C,3152.5393339460197
CULVER,22HUTKS_TCAP_C,3004.288034742057
KS16COGDPOP71-3,22HUTKS_TCAP_C,2782.03610114602
KS16GD2POP15-2,22HUTKS_TCAP_C,2418.0145988086383
X111482-1.8.2.1,22HUTKS_TCAP_C,2982.0035956471575
KS16RLGDPOP13-4,22HUTKS_TCAP_C,2553.3157000868687
CO04W320,22HUTKS_TCAP_C,2853.240842310238
KS16GD2POP13-2,22HUTKS_TCAP_C,2461.6681174026576
KS15COGDPOP04-2,22HUTKS_TCAP_C,2791.1045744552894
KS16COGDPOP42-3,22HUTKS_TCAP_C,2597.2814327860206
KS16GD2POP18-3,22HUTKS_TCAP_C,2753.008807981605
KS16COGDPOP52-4,22HUTKS_TCAP_C,2888.989614132872
X111616-1.6.8.3,22HUTKS_TCAP_C,3004.037863767413
U8816-S-H12-B,22HUTKS_TCAP_C,2474.752752505574
KS15COGDPOP69-1,22HUTKS_TCAP_C,2469.8855778763423
TX06A001386,22HUTKS_TCAP_C,3388.386127585118
KS16COGDPOP51-1,22HUTKS_TCAP_C,2498.4097061395
KS15RLGDPOP06-2,22HUTKS_TCAP_C,2841.8998551395
U9004-B-A01-B,22HUTKS_TCAP_C,2725.1332183944633
KS15RLGDPOP29-4,22HUTKS_TCAP_C,2839.997935608638
TX04M410211,22HUTKS_TCAP_C,3553.856868341203
U8816-V-F07-E,22HUTKS_TCAP_C,2918.920168761443
NUHORIZON,22HUTKS_TCAP_C,3859.930337569972
THUNDERBOLT,22HUTKS_TCAP_C,2888.2758341284207
KS16RLGDPOP42-4,22HUTKS_TCAP_C,2539.35053758602
KS16GD2POP13-4,22HUTKS_TCAP_C,2716.928416981605
U8816-V-D10-G,22HUTKS_TCAP_C,3036.9495152833515
TX07A001420,22HUTKS_TCAP_C,2848.376100082966
KS16GD2POP12-2,22HUTKS_TCAP_C,2504.20229646602
U8551_C6,22HUTKS_TCAP_C,2709.955879390015
U8715-J-D08,22HUTKS_TCAP_C,2700.45395269076
KS16GD2POP19-1,22HUTKS_TCAP_C,2949.0958176016297
COLT,22HUTKS_TCAP_C,2928.107063295847
NE10589,22HUTKS_TCAP_C,3907.834847137083
KS16COGDPOP52-1,22HUTKS_TCAP_C,3250.62704606602
OK05122,22HUTKS_TCAP_C,3037.434833490292
SPARTAN,22HUTKS_TCAP_C,2882.917877446602
KS15RLGDPOP26-5,22HUTKS_TCAP_C,2136.3852951921313
KS16RLGDPOP43-1,22HUTKS_TCAP_C,2858.26609326807
KS16COGDPOP03-2,22HUTKS_TCAP_C,2851.4301154552895
W04-417,22HUTKS_TCAP_C,3256.572263377277
KS16RLGDPOP46-3,22HUTKS_TCAP_C,2765.8442201394996
KS061278M-4,22HUTKS_TCAP_C,3444.985436675688
KS15COGDPOP19-2,22HUTKS_TCAP_C,2827.133212613184
KS15RLGDPOP30-1,22HUTKS_TCAP_C,2880.805887056914
KS16COGDPOP51-6,22HUTKS_TCAP_C,2883.643154386019
KS16RLGDPOP42-1,22HUTKS_TCAP_C,2695.8598961394996
KS16COGDPOP16-1,22HUTKS_TCAP_C,2673.192129665815
KS16RLGDPOP46-2,22HUTKS_TCAP_C,2549.7151699060196
U8453_C10,22HUTKS_TCAP_C,2406.81591569076
KS16COGDPOP51-4,22HUTKS_TCAP_C,3039.61223794602
KS15COGDPOP04-1,22HUTKS_TCAP_C,2605.5524921395
KS16COGDPOP71-8,22HUTKS_TCAP_C,2947.08693538602
OK06114,22HUTKS_TCAP_C,2885.409695423875
U8551_D5,22HUTKS_TCAP_C,3021.711859357425
NI06736,22HUTKS_TCAP_C,2857.9130498329655
KS16GD2POP19-4,22HUTKS_TCAP_C,3048.54313326381
KS15RLGDPOP37-2,22HUTKS_TCAP_C,3250.3470292973943
U8551_A10,22HUTKS_TCAP_C,2728.199175618586
KS15COGDPOP70-2,22HUTKS_TCAP_C,3132.8207639816046
X111480-1.8.10.10,22HUTKS_TCAP_C,2771.874851424519
U8816-S-H12-G,22HUTKS_TCAP_C,2799.5969415426116
KS16GD2POP15-3,22HUTKS_TCAP_C,2731.5839579860194
EXPEDITION,22HUTKS_TCAP_C,3628.0096901560623
VISTA,22HUTKS_TCAP_C,2790.2438863012026
KS16COGDPOP42-1,22HUTKS_TCAP_C,2824.9985673060196
OK04505,22HUTKS_TCAP_C,3651.0919087652037
KS16COGDPOP16-4,22HUTKS_TCAP_C,2878.2979209860196
KS16RLGDPOP43-2,22HUTKS_TCAP_C,2370.1665917060195
KS16COGDPOP52-3,22HUTKS_TCAP_C,2706.12259470602
KS16GD2POP17-5,22HUTKS_TCAP_C,2775.03919082371
TX04A001246,22HUTKS_TCAP_C,3414.7907977492514
U8458_U8459_U8460_U8471_E5,22HUTKS_TCAP_C,2486.007513214735
KS16RLGDPOP46-1,22HUTKS_TCAP_C,2958.27182490602
KS16COGDPOP73-1,22HUTKS_TCAP_C,2188.1082671921313
KS16RLGDPOP45-3,22HUTKS_TCAP_C,2518.3242925605523
U8453_B5,22HUTKS_TCAP_C,2571.1915442833515
KS15RLGDPOP65-2,22HUTKS_TCAP_C,2480.8469797184466
KS061406LN~26,22HUTKS_TCAP_C,3392.960278564862
KS15RLGDPOP16-4,22HUTKS_TCAP_C,2792.6450712973947
KS16RLGDPOP46-7,22HUTKS_TCAP_C,2801.12756618602
KS16GD2POP28-6,22HUTKS_TCAP_C,2693.65429614602
OK11D25056,22HUTKS_TCAP_C,2795.329568928974
TAM302,22HUTKS_TCAP_C,2835.1371935829657
KS16GD2POP12-16,22HUTKS_TCAP_C,2746.5675575605524
KS16COGDPOP74-2,22HUTKS_TCAP_C,2546.52279918602
KS16GD2POP28-3,22HUTKS_TCAP_C,2837.270306350026
KS16GD2POP28-1,22HUTKS_TCAP_C,2635.4654553500263
KS16COGDPOP17-1,22HUTKS_TCAP_C,3010.7294042447625
SANDY,22HUTKS_TCAP_C,3029.9394426014032
KS15RLGDPOP37-1,22HUTKS_TCAP_C,2966.910308928974
U8551_E1,22HUTKS_TCAP_C,2908.7738713407093
KS16RLGDPOP42-2,22HUTKS_TCAP_C,2416.9604482447635
KS16RLGDPOP46-4,22HUTKS_TCAP_C,2620.64045118602
KS16COGDPOP16-5,22HUTKS_TCAP_C,2448.5526299289736
TX01V5134RC-3,22HUTKS_TCAP_C,3630.8349740033022
ANTELOPE,22HUTKS_TCAP_C,3756.913610255811
X111480-1.8.10.5,22HUTKS_TCAP_C,2613.4739076658157
U9015-E-F06-A,22HUTKS_TCAP_C,2496.5956487710787
N16MD9177-C09-16,22HUTKS_TCAP_C,2547.4551771921315
KS15COGDPOP69-5,22HUTKS_TCAP_C,2723.9558796131837
KS16RLGDPOP46-5,22HUTKS_TCAP_C,2615.77521534602
KS15RLGDPOP27S-2,22HUTKS_TCAP_C,2830.2296654026577
TAM401,22HUTKS_TCAP_C,3452.5695283959703
KS16RLGDPOP13-3,22HUTKS_TCAP_C,2769.251534981605
X111480-1.8.10.10,22COLKS_TCAP_C,2771.874851424519
X111616-1.6.9.8,22COLKS_TCAP_C,3251.730329961443
TAM401,22COLKS_TCAP_C,3452.5695283959703
KS16COGDPOP42-3,22COLKS_TCAP_C,2597.2814327860206
X111480-1.8.10.5,22COLKS_TCAP_C,2613.4739076658157
ZENDA,22COLKS_TCAP_C,2866.23008941533
CO04W320,22COLKS_TCAP_C,2853.240842310238
KS16COGDPOP74-2,22COLKS_TCAP_C,2546.52279918602
U8819-O-G01,22COLKS_TCAP_C,2702.873816161443
ROBIDOUX,22COLKS_TCAP_C,3469.8855299439097
Joe,22COLKS_TCAP_C,3232.316568591669
KS16RLGDPOP42-1,22COLKS_TCAP_C,2695.8598961394996
KS15RLGDPOP30-4,22COLKS_TCAP_C,2815.8830857710786
U9006-M-D01-H2,22COLKS_TCAP_C,2603.637164283352
X111480-1.8.4.3,22COLKS_TCAP_C,2702.624842289152
KS090387K-20,22COLKS_TCAP_C,2468.789497480168
KS15COGDPOP69-1,22COLKS_TCAP_C,2469.8855778763423
KanMark,22COLKS_TCAP_C,2921.7512731046163
LOCKETT,22COLKS_TCAP_C,2614.097306367057
KS16COGDPOP42-1,22COLKS_TCAP_C,2824.9985673060196
SPARTAN,22COLKS_TCAP_C,2882.917877446602
X111616-1.6.6.3,22COLKS_TCAP_C,2930.077286950019
ANTELOPE,22COLKS_TCAP_C,3756.913610255811
KS16GD2POP17-5,22COLKS_TCAP_C,2775.03919082371
KS15RLGDPOP06-2,22COLKS_TCAP_C,2841.8998551395
KS16RLGDPOP46-4,22COLKS_TCAP_C,2620.64045118602
BOB_DOLE,22COLKS_TCAP_C,2894.888712938654
U9004-B-A01-B,22COLKS_TCAP_C,2725.1332183944633
KS16COGDPOP72-6,22COLKS_TCAP_C,2327.634254508853
KS16RLGDPOP13-4,22COLKS_TCAP_C,2553.3157000868687
U8441_U8549_A8,22COLKS_TCAP_C,2438.729596868198
U9015-E-F06-A,22COLKS_TCAP_C,2496.5956487710787
TX99U8618,22COLKS_TCAP_C,2611.277047901148
OK05723W,22COLKS_TCAP_C,2728.0589235458474
KS16COGDPOP71-11,22COLKS_TCAP_C,2228.7325122447633
KS16COGDPOP51-1,22COLKS_TCAP_C,2498.4097061395
KS15RLGDPOP29-2,22COLKS_TCAP_C,2851.1949613500265
TAM302,22COLKS_TCAP_C,2835.1371935829657
CENTURA,22COLKS_TCAP_C,2634.934512969329
OK05122,22COLKS_TCAP_C,3037.434833490292
TX06A001386,22COLKS_TCAP_C,3388.386127585118
KS16GD2POP13-4,22COLKS_TCAP_C,2716.928416981605
TAM304,22COLKS_TCAP_C,3497.695388400338
OK06114,22COLKS_TCAP_C,2885.409695423875
KS16COGDPOP52-1,22COLKS_TCAP_C,3250.62704606602
TX04M410211,22COLKS_TCAP_C,3553.856868341203
KS061406LN~26,22COLKS_TCAP_C,3392.960278564862
TX04A001246,22COLKS_TCAP_C,3414.7907977492514
COLT,22COLKS_TCAP_C,2928.107063295847
KS15COGDPOP19-2,22COLKS_TCAP_C,2827.133212613184
NI06736,22COLKS_TCAP_C,2857.9130498329655
KS16COGDPOP73-1,22COLKS_TCAP_C,2188.1082671921313
KS15COGDPOP69-5,22COLKS_TCAP_C,2723.9558796131837
KS15RLGDPOP30-1,22COLKS_TCAP_C,2880.805887056914
VISTA,22COLKS_TCAP_C,2790.2438863012026
U8434_B8,22COLKS_TCAP_C,2755.6173957301
BOND_CL,22COLKS_TCAP_C,3042.276673196602
U8816-V-F07-E,22COLKS_TCAP_C,2918.920168761443
KS15RLGDPOP16-4,22COLKS_TCAP_C,2792.6450712973947
KS16GD2POP19-1,22COLKS_TCAP_C,2949.0958176016297
KS16COGDPOP16-1,22COLKS_TCAP_C,2673.192129665815
KS16COGDPOP52-3,22COLKS_TCAP_C,2706.12259470602
EXPEDITION,22COLKS_TCAP_C,3628.0096901560623
KS16RLGDPOP43-1,22COLKS_TCAP_C,2858.26609326807
U9006-AI-D16-F,22COLKS_TCAP_C,2561.1231876166858
X111616-1.6.10.4,22COLKS_TCAP_C,2904.914564394463
OK04505,22COLKS_TCAP_C,3651.0919087652037
NE10589,22COLKS_TCAP_C,3907.834847137083
KS16GD2POP19-4,22COLKS_TCAP_C,3048.54313326381
KS16COGDPOP03-2,22COLKS_TCAP_C,2851.4301154552895
X111616-1.6.2.1,22COLKS_TCAP_C,2856.2995977900146
X111482-1.8.2.2,22COLKS_TCAP_C,3059.2505614315005
KS16COGDPOP52-4,22COLKS_TCAP_C,2888.989614132872
U8551_A10,22COLKS_TCAP_C,2728.199175618586
KS15COGDPOP70-2,22COLKS_TCAP_C,3132.8207639816046
JAGALENE,22COLKS_TCAP_C,3507.642684617566
KS16RLGDPOP42-4,22COLKS_TCAP_C,2539.35053758602
TX07A001420,22COLKS_TCAP_C,2848.376100082966
U8816-V-D10-G,22COLKS_TCAP_C,3036.9495152833515
KS16GD2POP12-11,22COLKS_TCAP_C,2810.4463492973946
KS16RLGDPOP42-2,22COLKS_TCAP_C,2416.9604482447635
KS15COGDPOP20-3,22COLKS_TCAP_C,2706.8842211394995
KS15RLGDPOP29-4,22COLKS_TCAP_C,2839.997935608638
U8546_A2,22COLKS_TCAP_C,2736.68128020153
KS16COGDPOP42-6,22COLKS_TCAP_C,3152.5393339460197
CULVER,22COLKS_TCAP_C,3004.288034742057
KS16RLGDPOP45-1,22COLKS_TCAP_C,2570.605806876342
KS16COGDPOP72-5,22COLKS_TCAP_C,3098.2689228921313
U8816-S-H12-B,22COLKS_TCAP_C,2474.752752505574
KS16COGDPOP51-6,22COLKS_TCAP_C,2883.643154386019
ARAPAHOE,22COLKS_TCAP_C,3262.2759306996727
KS16RLGDPOP46-7,22COLKS_TCAP_C,2801.12756618602
OK05711W,22COLKS_TCAP_C,2738.8170853640786
KS16RLGDPOP43-2,22COLKS_TCAP_C,2370.1665917060195
U8323_D5,22COLKS_TCAP_C,2826.129386759314
KS16GD2POP12-2,22COLKS_TCAP_C,2504.20229646602
KS15RLGDPOP27S-2,22COLKS_TCAP_C,2830.2296654026577
X111482-1.8.2.1,22COLKS_TCAP_C,2982.0035956471575
OK05511,22COLKS_TCAP_C,3518.8139270503825
U8551_A6,22COLKS_TCAP_C,2913.2668300532414
KS16GD2POP12-16,22COLKS_TCAP_C,2746.5675575605524
KS15COGDPOP70-1,22COLKS_TCAP_C,2975.977680613184
U8551_E1,22COLKS_TCAP_C,2908.7738713407093
KS16RLGDPOP46-1,22COLKS_TCAP_C,2958.27182490602
KS16COGDPOP71-3,22COLKS_TCAP_C,2782.03610114602
X111616-1.6.10.3,22COLKS_TCAP_C,2916.043259247158
KS16GD2POP19-3,22COLKS_TCAP_C,2417.661364613184
X111616-1.6.8.3,22COLKS_TCAP_C,3004.037863767413
W04-417,22COLKS_TCAP_C,3256.572263377277
KS15RLGDPOP37-1,22COLKS_TCAP_C,2966.910308928974
KS061278M-4,22COLKS_TCAP_C,3444.985436675688
KS16COGDPOP16-5,22COLKS_TCAP_C,2448.5526299289736
N16MD9051-A02-3,22COLKS_TCAP_C,2871.7056203766997
SANDY,22COLKS_TCAP_C,3029.9394426014032
U8816-S-H12-G,22COLKS_TCAP_C,2799.5969415426116
U9001-E-D12-D,22COLKS_TCAP_C,2405.704917320389
TX02A0252,22COLKS_TCAP_C,3594.8093915077125
THUNDERBOLT,22COLKS_TCAP_C,2888.2758341284207
KS16GD2POP28-6,22COLKS_TCAP_C,2693.65429614602
KS15COGDPOP04-2,22COLKS_TCAP_C,2791.1045744552894
NUHORIZON,22COLKS_TCAP_C,3859.930337569972
N16MD9177-C09-16,22COLKS_TCAP_C,2547.4551771921315
KS16RLGDPOP46-5,22COLKS_TCAP_C,2615.77521534602
U8715-J-D08,22COLKS_TCAP_C,2700.45395269076
U8453_B5,22COLKS_TCAP_C,2571.1915442833515
KS16GD2POP13-2,22COLKS_TCAP_C,2461.6681174026576
U8453_B7,22COLKS_TCAP_C,2704.8331343203895
KS15RLGDPOP23-3,22COLKS_TCAP_C,2676.0931170342374
TX06V7266,22COLKS_TCAP_C,3079.56007010153
KS16GD2POP28-1,22COLKS_TCAP_C,2635.4654553500263
ALLIANCE,22COLKS_TCAP_C,3131.066659712802
KS15RLGDPOP37-2,22COLKS_TCAP_C,3250.3470292973943
KS16GD2POP28-3,22COLKS_TCAP_C,2837.270306350026
TX01V5134RC-3,22COLKS_TCAP_C,3630.8349740033022
KS15RLGDPOP65-2,22COLKS_TCAP_C,2480.8469797184466
KS16GD2POP18-3,22COLKS_TCAP_C,2753.008807981605
KS16COGDPOP72-1,22COLKS_TCAP_C,2754.3835418953286
KS16GD2POP15-3,22COLKS_TCAP_C,2731.5839579860194
U8551_C6,22COLKS_TCAP_C,2709.955879390015
KS16COGDPOP17-1,22COLKS_TCAP_C,3010.7294042447625
KS16COGDPOP71-8,22COLKS_TCAP_C,2947.08693538602
U8453_C10,22COLKS_TCAP_C,2406.81591569076
U8551_A2,22COLKS_TCAP_C,2562.5341693574264
KS16RLGDPOP13-3,22COLKS_TCAP_C,2769.251534981605
U8458_U8459_U8460_U8471_E5,22COLKS_TCAP_C,2486.007513214735
KS16GD2POP15-2,22COLKS_TCAP_C,2418.0145988086383
KS15RLGDPOP26-5,22COLKS_TCAP_C,2136.3852951921313
KS16COGDPOP16-4,22COLKS_TCAP_C,2878.2979209860196
U8551_D5,22COLKS_TCAP_C,3021.711859357425
OK11D25056,22COLKS_TCAP_C,2795.329568928974
KS16COGDPOP52-2,22COLKS_TCAP_C,2884.715337161443
KS16RLGDPOP46-3,22COLKS_TCAP_C,2765.8442201394996
KS16RLGDPOP45-3,22COLKS_TCAP_C,2518.3242925605523
KS15COGDPOP04-1,22COLKS_TCAP_C,2605.5524921395
KS16RLGDPOP46-2,22COLKS_TCAP_C,2549.7151699060196
KS15COGDPOP69-3,22COLKS_TCAP_C,2699.27809680297
KS16COGDPOP51-4,22COLKS_TCAP_C,3039.61223794602
KanMark,22HUTKS_TDicQual,2921.7512731046163
KS090387K-20,22HUTKS_TDicQual,2468.789497480168
BOB_DOLE,22HUTKS_TDicQual,2894.888712938654
ZENDA,22HUTKS_TDicQual,2866.23008941533
X111480-1.8.10.10,22HAYKS_TCAP_C,2771.874851424519
KanMark,22HAYKS_TCAP_C,2921.7512731046163
KS16COGDPOP52-3,22HAYKS_TCAP_C,2706.12259470602
X111616-1.6.2.1,22HAYKS_TCAP_C,2856.2995977900146
U8453_C10,22HAYKS_TCAP_C,2406.81591569076
ZENDA,22HAYKS_TCAP_C,2866.23008941533
TX01V5134RC-3,22HAYKS_TCAP_C,3630.8349740033022
CULVER,22HAYKS_TCAP_C,3004.288034742057
U8546_B8,22HAYKS_TCAP_C,2000.0424319300992
Joe,22HAYKS_TCAP_C,3232.316568591669
KS15RLGDPOP37-2,22HAYKS_TCAP_C,3250.3470292973943
KS090387K-20,22HAYKS_TCAP_C,2468.789497480168
TX07A001420,22HAYKS_TCAP_C,2848.376100082966
KS16COGDPOP71-11,22HAYKS_TCAP_C,2228.7325122447633
KS16COGDPOP51-1,22HAYKS_TCAP_C,2498.4097061395
SPARTAN,22HAYKS_TCAP_C,2882.917877446602
KS16COGDPOP52-2,22HAYKS_TCAP_C,2884.715337161443
W04-417,22HAYKS_TCAP_C,3256.572263377277
KS15RLGDPOP37-1,22HAYKS_TCAP_C,2966.910308928974
OK04505,22HAYKS_TCAP_C,3651.0919087652037
KS16RLGDPOP46-1,22HAYKS_TCAP_C,2958.27182490602
ROBIDOUX,22HAYKS_TCAP_C,3469.8855299439097
VISTA,22HAYKS_TCAP_C,2790.2438863012026
BOB_DOLE,22HAYKS_TCAP_C,2894.888712938654
KS16GD2POP15-2,22HAYKS_TCAP_C,2418.0145988086383
U8441_U8549_A8,22HAYKS_TCAP_C,2438.729596868198
X111616-1.6.10.3,22HAYKS_TCAP_C,2916.043259247158
LOCKETT,22HAYKS_TCAP_C,2614.097306367057
KS16RLGDPOP42-4,22HAYKS_TCAP_C,2539.35053758602
KS061278M-4,22HAYKS_TCAP_C,3444.985436675688
X111482-1.8.2.1,22HAYKS_TCAP_C,2982.0035956471575
U8453_D6,22HAYKS_TCAP_C,2951.4352817674126
KS16COGDPOP72-5,22HAYKS_TCAP_C,3098.2689228921313
