germplasmName,study_db_id,value,studyName
MN21214,10725,7187.2,AY3-8_YIELD_CRK-MN_2022
UMN09,10725,5852.5,AY3-8_YIELD_CRK-MN_2022
MN21474,10725,6846.8,AY3-8_YIELD_CRK-MN_2022
MN21053,10725,6548.7,AY3-8_YIELD_CRK-MN_2022
MN21439,10725,6908.7,AY3-8_YIELD_CRK-MN_2022
MN21065,10725,6804.3,AY3-8_YIELD_CRK-MN_2022
UMN09,10725,6063.7,AY3-8_YIELD_CRK-MN_2022
MN21423,10725,6438.0,AY3-8_YIELD_CRK-MN_2022
MN21483,10725,7405.7,AY3-8_YIELD_CRK-MN_2022
MN21367,10725,6642.3,AY3-8_YIELD_CRK-MN_2022
MN21272,10725,6575.4,AY3-8_YIELD_CRK-MN_2022
MN21061,10725,5989.6,AY3-8_YIELD_CRK-MN_2022
SHELLY,10725,6689.3,AY3-8_YIELD_CRK-MN_2022
MN21148,10725,6284.3,AY3-8_YIELD_CRK-MN_2022
MN21030,10725,6878.2,AY3-8_YIELD_CRK-MN_2022
MN21341,10725,6335.7,AY3-8_YIELD_CRK-MN_2022
MN21259,10725,6244.6,AY3-8_YIELD_CRK-MN_2022
MN-ROTHSAY,10725,6704.7,AY3-8_YIELD_CRK-MN_2022
MN21355,10725,6086.3,AY3-8_YIELD_CRK-MN_2022
MN21480,10725,6331.0,AY3-8_YIELD_CRK-MN_2022
MN21143,10725,6477.8,AY3-8_YIELD_CRK-MN_2022
MN21357,10725,6586.8,AY3-8_YIELD_CRK-MN_2022
MN-Torgy,10725,7072.3,AY3-8_YIELD_CRK-MN_2022
MN21019,10725,6637.4,AY3-8_YIELD_CRK-MN_2022
MN21425,10725,6159.2,AY3-8_YIELD_CRK-MN_2022
MN21003,10725,5814.0,AY3-8_YIELD_CRK-MN_2022
MN21482,10725,6571.5,AY3-8_YIELD_CRK-MN_2022
UMN09,10725,6116.8,AY3-8_YIELD_CRK-MN_2022
MN21227,10725,6884.8,AY3-8_YIELD_CRK-MN_2022
MN21358,10725,6528.3,AY3-8_YIELD_CRK-MN_2022
MN21090,10725,7492.0,AY3-8_YIELD_CRK-MN_2022
MN21060,10725,6999.8,AY3-8_YIELD_CRK-MN_2022
SHELLY,10725,7061.1,AY3-8_YIELD_CRK-MN_2022
MN21306,10725,6456.4,AY3-8_YIELD_CRK-MN_2022
MN21129,10725,6452.6,AY3-8_YIELD_CRK-MN_2022
MN21359,10725,6637.9,AY3-8_YIELD_CRK-MN_2022
MN21037,10725,6904.6,AY3-8_YIELD_CRK-MN_2022
MN-Torgy,10725,7191.2,AY3-8_YIELD_CRK-MN_2022
MN21448,10725,6668.7,AY3-8_YIELD_CRK-MN_2022
MN21260,10725,6841.8,AY3-8_YIELD_CRK-MN_2022
MN21023,10725,5771.1,AY3-8_YIELD_CRK-MN_2022
MN21168,10725,7309.8,AY3-8_YIELD_CRK-MN_2022
SHELLY,10725,6727.9,AY3-8_YIELD_CRK-MN_2022
MN21470,10725,7398.6,AY3-8_YIELD_CRK-MN_2022
MN21048W,10725,6374.5,AY3-8_YIELD_CRK-MN_2022
MN21100,10725,6722.4,AY3-8_YIELD_CRK-MN_2022
MN21144,10725,6620.1,AY3-8_YIELD_CRK-MN_2022
MN-Torgy,10725,6966.2,AY3-8_YIELD_CRK-MN_2022
MN21315,10725,6873.1,AY3-8_YIELD_CRK-MN_2022
MN21370,10725,7011.9,AY3-8_YIELD_CRK-MN_2022
MN21058,10725,6249.2,AY3-8_YIELD_CRK-MN_2022
UMN09,10725,6103.2,AY3-8_YIELD_CRK-MN_2022
MN21049,10725,6660.3,AY3-8_YIELD_CRK-MN_2022
MN21286,10725,5693.5,AY3-8_YIELD_CRK-MN_2022
MN21063,10725,6578.2,AY3-8_YIELD_CRK-MN_2022
MN21316,10725,6792.5,AY3-8_YIELD_CRK-MN_2022
SHELLY,10725,6514.4,AY3-8_YIELD_CRK-MN_2022
MN21195,10725,6339.4,AY3-8_YIELD_CRK-MN_2022
MN21337,10725,6336.4,AY3-8_YIELD_CRK-MN_2022
MN21172,10725,6984.3,AY3-8_YIELD_CRK-MN_2022
MN21407,10725,6368.5,AY3-8_YIELD_CRK-MN_2022
MN-Torgy,10725,6444.1,AY3-8_YIELD_CRK-MN_2022
MN21163,10725,6777.0,AY3-8_YIELD_CRK-MN_2022
MN21046,10725,5112.0,AY3-8_YIELD_CRK-MN_2022
MN21267,10725,6485.3,AY3-8_YIELD_CRK-MN_2022
MN21311,10725,6179.3,AY3-8_YIELD_CRK-MN_2022
MN-ROTHSAY,10725,7292.2,AY3-8_YIELD_CRK-MN_2022
MN21385,10725,6927.7,AY3-8_YIELD_CRK-MN_2022
MN21034,10725,6581.5,AY3-8_YIELD_CRK-MN_2022
MN21052,10725,6777.3,AY3-8_YIELD_CRK-MN_2022
MN21422,10725,6330.4,AY3-8_YIELD_CRK-MN_2022
MN21067,10725,7158.6,AY3-8_YIELD_CRK-MN_2022
MN21273,10725,6370.3,AY3-8_YIELD_CRK-MN_2022
UMN09,10725,6166.8,AY3-8_YIELD_CRK-MN_2022
MN21176,10725,7045.7,AY3-8_YIELD_CRK-MN_2022
MN21099,10725,6773.6,AY3-8_YIELD_CRK-MN_2022
MN21299,10725,6290.8,AY3-8_YIELD_CRK-MN_2022
MN21476,10725,6772.3,AY3-8_YIELD_CRK-MN_2022
UMN09,10725,7213.6,AY3-8_YIELD_CRK-MN_2022
MN21399,10725,6328.3,AY3-8_YIELD_CRK-MN_2022
MN21293,10725,7110.8,AY3-8_YIELD_CRK-MN_2022
MN21133,10725,7649.1,AY3-8_YIELD_CRK-MN_2022
MN21009,10725,7014.2,AY3-8_YIELD_CRK-MN_2022
SHELLY,10725,7040.7,AY3-8_YIELD_CRK-MN_2022
MN21478,10725,7053.8,AY3-8_YIELD_CRK-MN_2022
MN21405,10725,6880.1,AY3-8_YIELD_CRK-MN_2022
MN21158,10725,6061.6,AY3-8_YIELD_CRK-MN_2022
MN21153,10725,6482.3,AY3-8_YIELD_CRK-MN_2022
MN-ROTHSAY,10725,7366.7,AY3-8_YIELD_CRK-MN_2022
MN21270,10725,5332.4,AY3-8_YIELD_CRK-MN_2022
MN21036,10725,7131.9,AY3-8_YIELD_CRK-MN_2022
MN21127,10725,6714.8,AY3-8_YIELD_CRK-MN_2022
MN21222,10725,7037.0,AY3-8_YIELD_CRK-MN_2022
MN21468,10725,5906.6,AY3-8_YIELD_CRK-MN_2022
MN21115,10725,5355.0,AY3-8_YIELD_CRK-MN_2022
MN-Torgy,10725,6382.0,AY3-8_YIELD_CRK-MN_2022
MN21128,10725,6735.6,AY3-8_YIELD_CRK-MN_2022
MN21472,10725,6225.5,AY3-8_YIELD_CRK-MN_2022
MN21175,10725,6058.6,AY3-8_YIELD_CRK-MN_2022
MN21159,10725,6407.0,AY3-8_YIELD_CRK-MN_2022
SHELLY,10725,5941.2,AY3-8_YIELD_CRK-MN_2022
MN21473,10725,6324.6,AY3-8_YIELD_CRK-MN_2022
MN21278,10725,6137.4,AY3-8_YIELD_CRK-MN_2022
MN21001,10725,5665.6,AY3-8_YIELD_CRK-MN_2022
MN21340,10725,6505.9,AY3-8_YIELD_CRK-MN_2022
MN-ROTHSAY,10725,7090.8,AY3-8_YIELD_CRK-MN_2022
MN21263,10725,6643.1,AY3-8_YIELD_CRK-MN_2022
MN21275,10725,7275.9,AY3-8_YIELD_CRK-MN_2022
MN21184,10725,6615.6,AY3-8_YIELD_CRK-MN_2022
MN21269,10725,6873.0,AY3-8_YIELD_CRK-MN_2022
SHELLY,10725,6818.7,AY3-8_YIELD_CRK-MN_2022
MN21146,10725,5999.2,AY3-8_YIELD_CRK-MN_2022
MN21406,10725,7355.1,AY3-8_YIELD_CRK-MN_2022
MN21005,10725,6932.9,AY3-8_YIELD_CRK-MN_2022
MN-ROTHSAY,10725,7346.3,AY3-8_YIELD_CRK-MN_2022
MN21291,10725,6576.6,AY3-8_YIELD_CRK-MN_2022
MN21401,10725,6824.4,AY3-8_YIELD_CRK-MN_2022
MN21307,10725,6728.8,AY3-8_YIELD_CRK-MN_2022
MN21054,10725,7327.6,AY3-8_YIELD_CRK-MN_2022
MN-ROTHSAY,10725,7183.3,AY3-8_YIELD_CRK-MN_2022
MN21477,10725,6923.5,AY3-8_YIELD_CRK-MN_2022
MN21304,10725,6497.2,AY3-8_YIELD_CRK-MN_2022
MN21076,10725,7170.8,AY3-8_YIELD_CRK-MN_2022
MN21072,10725,6848.5,AY3-8_YIELD_CRK-MN_2022
MN-ROTHSAY,10725,7490.2,AY3-8_YIELD_CRK-MN_2022
MN21455,10725,6802.9,AY3-8_YIELD_CRK-MN_2022
MN21298,10725,7018.6,AY3-8_YIELD_CRK-MN_2022
MN21271,10725,6828.8,AY3-8_YIELD_CRK-MN_2022
MN21147,10725,6669.9,AY3-8_YIELD_CRK-MN_2022
UMN09,10725,6696.8,AY3-8_YIELD_CRK-MN_2022
MN21169,10725,6390.5,AY3-8_YIELD_CRK-MN_2022
MN21413,10725,6938.6,AY3-8_YIELD_CRK-MN_2022
MN21387,10725,6058.3,AY3-8_YIELD_CRK-MN_2022
MN21098,10725,7277.8,AY3-8_YIELD_CRK-MN_2022
MN-Torgy,10725,6624.9,AY3-8_YIELD_CRK-MN_2022
MN21047,10725,6233.4,AY3-8_YIELD_CRK-MN_2022
MN21484,10725,6632.5,AY3-8_YIELD_CRK-MN_2022
MN21011,10725,6645.7,AY3-8_YIELD_CRK-MN_2022
MN21194W,10725,6735.5,AY3-8_YIELD_CRK-MN_2022
MN-Torgy,10725,7043.7,AY3-8_YIELD_CRK-MN_2022
MN21211,10725,5753.9,AY3-8_YIELD_CRK-MN_2022
MN21218,10725,6327.4,AY3-8_YIELD_CRK-MN_2022
MN21242,10725,6658.3,AY3-8_YIELD_CRK-MN_2022
MN21418,10725,6106.8,AY3-8_YIELD_CRK-MN_2022
UMN09,10725,6118.7,AY3-8_YIELD_CRK-MN_2022
MN21328,10725,6884.6,AY3-8_YIELD_CRK-MN_2022
MN21464,10725,6324.6,AY3-8_YIELD_CRK-MN_2022
MN21402,10725,6238.5,AY3-8_YIELD_CRK-MN_2022
MN21016,10725,6980.2,AY3-8_YIELD_CRK-MN_2022
MN-ROTHSAY,10725,7421.3,AY3-8_YIELD_CRK-MN_2022
MN21197,10725,6601.0,AY3-8_YIELD_CRK-MN_2022
MN21477,10732,5901.6,AY3-8_YIELD_ROS-MN_2022
MN21067,10732,4149.0,AY3-8_YIELD_ROS-MN_2022
MN-Torgy,10732,6080.4,AY3-8_YIELD_ROS-MN_2022
MN21064,10732,4596.1,AY3-8_YIELD_ROS-MN_2022
MN21150,10732,5615.4,AY3-8_YIELD_ROS-MN_2022
MN21090,10732,6455.9,AY3-8_YIELD_ROS-MN_2022
MN21472,10732,5257.7,AY3-8_YIELD_ROS-MN_2022
MN-Torgy,10732,6080.4,AY3-8_YIELD_ROS-MN_2022
MN21489,10732,5222.0,AY3-8_YIELD_ROS-MN_2022
MN21110,10732,5436.6,AY3-8_YIELD_ROS-MN_2022
MN-ROTHSAY,10732,5901.6,AY3-8_YIELD_ROS-MN_2022
MN21054,10732,5847.9,AY3-8_YIELD_ROS-MN_2022
MN21401,10732,4792.8,AY3-8_YIELD_ROS-MN_2022
MN21270,10732,5687.0,AY3-8_YIELD_ROS-MN_2022
MN21226,10732,5329.3,AY3-8_YIELD_ROS-MN_2022
MN21153,10732,5830.0,AY3-8_YIELD_ROS-MN_2022
SHELLY,10732,6867.3,AY3-8_YIELD_ROS-MN_2022
MN21013,10732,4077.4,AY3-8_YIELD_ROS-MN_2022
MN21359,10732,5150.4,AY3-8_YIELD_ROS-MN_2022
MN21144,10732,5830.0,AY3-8_YIELD_ROS-MN_2022
MN21407,10732,5222.0,AY3-8_YIELD_ROS-MN_2022
UMN09,10732,5186.2,AY3-8_YIELD_ROS-MN_2022
MN21298,10732,5186.2,AY3-8_YIELD_ROS-MN_2022
UMN09,10732,4041.7,AY3-8_YIELD_ROS-MN_2022
MN21097,10732,5776.4,AY3-8_YIELD_ROS-MN_2022
MN-Torgy,10732,6187.7,AY3-8_YIELD_ROS-MN_2022
MN21299,10732,4399.3,AY3-8_YIELD_ROS-MN_2022
MN21023,10732,5025.3,AY3-8_YIELD_ROS-MN_2022
MN21354,10732,6616.9,AY3-8_YIELD_ROS-MN_2022
MN21041,10732,6223.5,AY3-8_YIELD_ROS-MN_2022
UMN09,10732,5454.5,AY3-8_YIELD_ROS-MN_2022
MN21273,10732,5275.6,AY3-8_YIELD_ROS-MN_2022
MN21080,10732,5830.0,AY3-8_YIELD_ROS-MN_2022
MN21210,10732,6044.6,AY3-8_YIELD_ROS-MN_2022
MN21159,10732,4238.4,AY3-8_YIELD_ROS-MN_2022
MN21016,10732,5078.9,AY3-8_YIELD_ROS-MN_2022
MN-Torgy,10732,6151.9,AY3-8_YIELD_ROS-MN_2022
MN21072,10732,5865.8,AY3-8_YIELD_ROS-MN_2022
MN21425,10732,5400.8,AY3-8_YIELD_ROS-MN_2022
MN21128,10732,5257.7,AY3-8_YIELD_ROS-MN_2022
MN21036,10732,6116.2,AY3-8_YIELD_ROS-MN_2022
MN21028,10732,6455.9,AY3-8_YIELD_ROS-MN_2022
SHELLY,10732,6491.7,AY3-8_YIELD_ROS-MN_2022
MN21230,10732,5150.4,AY3-8_YIELD_ROS-MN_2022
MN21405,10732,5937.3,AY3-8_YIELD_ROS-MN_2022
MN21278,10732,4882.2,AY3-8_YIELD_ROS-MN_2022
MN21328,10732,6509.6,AY3-8_YIELD_ROS-MN_2022
MN21341,10732,5830.0,AY3-8_YIELD_ROS-MN_2022
SHELLY,10732,6581.1,AY3-8_YIELD_ROS-MN_2022
MN21464,10732,5722.7,AY3-8_YIELD_ROS-MN_2022
MN21346,10732,6581.1,AY3-8_YIELD_ROS-MN_2022
MN21071,10732,5687.0,AY3-8_YIELD_ROS-MN_2022
MN21267,10732,5400.8,AY3-8_YIELD_ROS-MN_2022
MN-Torgy,10732,5901.6,AY3-8_YIELD_ROS-MN_2022
MN21444,10732,6366.5,AY3-8_YIELD_ROS-MN_2022
MN21197,10732,4864.3,AY3-8_YIELD_ROS-MN_2022
MN21217,10732,4417.2,AY3-8_YIELD_ROS-MN_2022
MN21065,10732,5901.6,AY3-8_YIELD_ROS-MN_2022
MN21146,10732,5275.6,AY3-8_YIELD_ROS-MN_2022
SHELLY,10732,6455.9,AY3-8_YIELD_ROS-MN_2022
MN21059,10732,5579.6,AY3-8_YIELD_ROS-MN_2022
MN21242,10732,6867.3,AY3-8_YIELD_ROS-MN_2022
MN21214,10732,6223.5,AY3-8_YIELD_ROS-MN_2022
MN21399,10732,5007.4,AY3-8_YIELD_ROS-MN_2022
SHELLY,10732,6831.5,AY3-8_YIELD_ROS-MN_2022
MN21019,10732,6402.3,AY3-8_YIELD_ROS-MN_2022
MN21099,10732,5329.3,AY3-8_YIELD_ROS-MN_2022
MN-ROTHSAY,10732,5937.3,AY3-8_YIELD_ROS-MN_2022
MN21268,10732,5669.1,AY3-8_YIELD_ROS-MN_2022
MN21439,10732,5955.2,AY3-8_YIELD_ROS-MN_2022
MN-ROTHSAY,10732,5704.8,AY3-8_YIELD_ROS-MN_2022
MN21406,10732,6384.4,AY3-8_YIELD_ROS-MN_2022
MN21476,10732,5043.1,AY3-8_YIELD_ROS-MN_2022
MN21337,10732,6187.7,AY3-8_YIELD_ROS-MN_2022
MN-ROTHSAY,10732,5758.5,AY3-8_YIELD_ROS-MN_2022
MN21184,10732,5919.4,AY3-8_YIELD_ROS-MN_2022
MN21143,10732,6259.2,AY3-8_YIELD_ROS-MN_2022
MN21478,10732,5579.6,AY3-8_YIELD_ROS-MN_2022
MN21047,10732,4184.7,AY3-8_YIELD_ROS-MN_2022
MN21259,10732,5257.7,AY3-8_YIELD_ROS-MN_2022
UMN09,10732,5508.1,AY3-8_YIELD_ROS-MN_2022
MN21162,10732,5526.0,AY3-8_YIELD_ROS-MN_2022
MN21163,10732,5704.8,AY3-8_YIELD_ROS-MN_2022
MN21115,10732,4005.9,AY3-8_YIELD_ROS-MN_2022
MN21387,10732,4685.5,AY3-8_YIELD_ROS-MN_2022
UMN09,10732,5704.8,AY3-8_YIELD_ROS-MN_2022
MN21370,10732,5293.5,AY3-8_YIELD_ROS-MN_2022
MN21274,10732,6044.6,AY3-8_YIELD_ROS-MN_2022
MN21127,10732,6402.3,AY3-8_YIELD_ROS-MN_2022
MN21260,10732,4900.1,AY3-8_YIELD_ROS-MN_2022
MN21010,10732,5007.4,AY3-8_YIELD_ROS-MN_2022
MN21001,10732,5204.1,AY3-8_YIELD_ROS-MN_2022
MN21098,10732,4846.4,AY3-8_YIELD_ROS-MN_2022
SHELLY,10732,6616.9,AY3-8_YIELD_ROS-MN_2022
MN21463,10732,5400.8,AY3-8_YIELD_ROS-MN_2022
MN21014,10732,6151.9,AY3-8_YIELD_ROS-MN_2022
MN21438,10732,4935.8,AY3-8_YIELD_ROS-MN_2022
MN21473,10732,6384.4,AY3-8_YIELD_ROS-MN_2022
SHELLY,10732,6402.3,AY3-8_YIELD_ROS-MN_2022
MN21480,10732,4864.3,AY3-8_YIELD_ROS-MN_2022
MN21100,10732,5418.7,AY3-8_YIELD_ROS-MN_2022
MN21061,10732,5937.3,AY3-8_YIELD_ROS-MN_2022
MN21035,10732,5812.1,AY3-8_YIELD_ROS-MN_2022
MN21168,10732,5722.7,AY3-8_YIELD_ROS-MN_2022
MN-ROTHSAY,10732,6455.9,AY3-8_YIELD_ROS-MN_2022
MN21074,10732,4935.8,AY3-8_YIELD_ROS-MN_2022
MN21474,10732,6295.0,AY3-8_YIELD_ROS-MN_2022
MN21052,10732,5722.7,AY3-8_YIELD_ROS-MN_2022
MN21448,10732,5257.7,AY3-8_YIELD_ROS-MN_2022
MN21009,10732,6259.2,AY3-8_YIELD_ROS-MN_2022
MN21129,10732,4470.9,AY3-8_YIELD_ROS-MN_2022
MN-Torgy,10732,5418.7,AY3-8_YIELD_ROS-MN_2022
MN21423,10732,4721.2,AY3-8_YIELD_ROS-MN_2022
MN-Torgy,10732,6151.9,AY3-8_YIELD_ROS-MN_2022
MN21402,10732,4631.8,AY3-8_YIELD_ROS-MN_2022
MN21286,10732,4846.4,AY3-8_YIELD_ROS-MN_2022
MN21311,10732,5025.3,AY3-8_YIELD_ROS-MN_2022
MN21271,10732,6187.7,AY3-8_YIELD_ROS-MN_2022
MN-ROTHSAY,10732,5901.6,AY3-8_YIELD_ROS-MN_2022
MN21316,10732,5722.7,AY3-8_YIELD_ROS-MN_2022
MN21455,10732,5508.1,AY3-8_YIELD_ROS-MN_2022
MN21218,10732,5937.3,AY3-8_YIELD_ROS-MN_2022
MN21048W,10732,4113.2,AY3-8_YIELD_ROS-MN_2022
MN-Torgy,10732,5365.0,AY3-8_YIELD_ROS-MN_2022
UMN09,10732,5329.3,AY3-8_YIELD_ROS-MN_2022
MN21003,10732,5293.5,AY3-8_YIELD_ROS-MN_2022
MN21063,10732,5293.5,AY3-8_YIELD_ROS-MN_2022
MN21049,10732,5293.5,AY3-8_YIELD_ROS-MN_2022
MN-ROTHSAY,10732,6402.3,AY3-8_YIELD_ROS-MN_2022
MN21101,10732,5883.7,AY3-8_YIELD_ROS-MN_2022
MN21058,10732,4631.8,AY3-8_YIELD_ROS-MN_2022
MN21291,10732,5293.5,AY3-8_YIELD_ROS-MN_2022
MN21194W,10732,5937.3,AY3-8_YIELD_ROS-MN_2022
MN-Torgy,10732,6169.8,AY3-8_YIELD_ROS-MN_2022
MN21483,10732,4399.3,AY3-8_YIELD_ROS-MN_2022
MN21222,10732,6151.9,AY3-8_YIELD_ROS-MN_2022
MN21468,10732,4918.0,AY3-8_YIELD_ROS-MN_2022
MN21147,10732,5687.0,AY3-8_YIELD_ROS-MN_2022
MN21045,10732,6742.1,AY3-8_YIELD_ROS-MN_2022
UMN09,10732,5347.2,AY3-8_YIELD_ROS-MN_2022
MN21076,10732,6008.9,AY3-8_YIELD_ROS-MN_2022
MN21211,10732,6080.4,AY3-8_YIELD_ROS-MN_2022
MN21024,10732,5830.0,AY3-8_YIELD_ROS-MN_2022
MN21418,10732,5078.9,AY3-8_YIELD_ROS-MN_2022
UMN09,10732,5865.8,AY3-8_YIELD_ROS-MN_2022
MN21389,10732,4327.8,AY3-8_YIELD_ROS-MN_2022
MN21266,10732,5078.9,AY3-8_YIELD_ROS-MN_2022
MN21132,10732,4935.8,AY3-8_YIELD_ROS-MN_2022
MN21385,10732,6473.8,AY3-8_YIELD_ROS-MN_2022
MN21327,10732,5436.6,AY3-8_YIELD_ROS-MN_2022
UMN09,10732,5615.4,AY3-8_YIELD_ROS-MN_2022
MN21004,10732,4900.1,AY3-8_YIELD_ROS-MN_2022
MN21340,10732,5687.0,AY3-8_YIELD_ROS-MN_2022
MN21332,10732,5508.1,AY3-8_YIELD_ROS-MN_2022
MN21133,10732,6563.2,AY3-8_YIELD_ROS-MN_2022
SHELLY,10732,6581.1,AY3-8_YIELD_ROS-MN_2022
MN21172,10732,5669.1,AY3-8_YIELD_ROS-MN_2022
MN21264,10732,5418.7,AY3-8_YIELD_ROS-MN_2022
MN21470,10732,5758.5,AY3-8_YIELD_ROS-MN_2022
UMN09,10732,4792.8,AY3-8_YIELD_ROS-MN_2022
MN21060,10732,4971.6,AY3-8_YIELD_ROS-MN_2022
MN21329,10732,5257.7,AY3-8_YIELD_ROS-MN_2022
MN21081,10732,5365.0,AY3-8_YIELD_ROS-MN_2022
MN21011,10732,4810.7,AY3-8_YIELD_ROS-MN_2022
