studyName,missing_n
UIL-WHEAT-2018-ELKVILLE,1
UIL-WHEAT-2018-HAMPSHIRE,1
UIL-WHEAT-2018-NEOGA,1
UIL-WHEAT-2018-PERRY,1
UIL-WHEAT-2018-URBANA,1
5STPRE_2019_WoodfordCo.,1
5STPRE_2019_Urbana,1
CornellMaster_2009_McGowan,1
5STPRE_2019_Princeton,1
5STPRE_2019_EastLansing,1
5STADV_2020_WestLafayette,1
5STADV_2020_Urbana,1
5STADV_2020_Neoga,1
5STADV_2020_Mason,1
5STADV_2020_Fremont,1
5STADV_2019_WestLafayette,1
5STADV_2019_Urbana,1
5STADV_2019_Princeton,1
5STADV_2019_EastLansing,1
UIL-WHEAT-2017-ELKVILLE,1
UIL-WHEAT-2017-BELLEVILLE,1
UIL-WHEAT-2016-URBANA,1
UIL-WHEAT-2016-PERRY,1
CornellMaster_2011_Helfer,1
CornellMaster_2011_Ketola,1
CornellMaster_2011_McGowan,1
CornellMaster_2012_Helfer,1
CornellMaster_2012_Ketola,1
CornellMaster_2012_Snyder,1
CornellMaster_2016_Helfer,1
CornellMaster_2016_Ketola,1
CornellMaster_2016_Snyder,1
CornellMaster_2008_Snyder,1
HRWObs_2022_WARVA,1
PNUWWSN_2020_Warsaw,1
CornellMaster_2021_Snyder,1
NSGC-NormN-Irr_2013_Aberdeen,1
NSGC-NormN-Dry_2013_Aberdeen,1
NSGC-LowN-Dry_2013_Aberdeen,1
CornellMaster_2023_McGowan,1
HRWObs_2022_BLAVA,1
5STPRE_2020_WestLafayette,1
5STPRE_2020_Urbana,1
5STPRE_2020_Mason,1
5STPRE_2020_Fremont,1
CornellMaster_2008_Ketola,1
UIL-WHEAT-2016-DEKALB,1
